서ㆍ센터ID,서ㆍ센터명,유형구분명,assigned_demand_weight,mean_distance_m,demand_point_count
1107101,장안119안전센터,안전센터/구조대,40349.073438604275,712.8306864914276,25
1100512,본부현장대응단,안전센터/구조대,39768.014120993284,633.4068964127767,19
1127401,행당119안전센터,안전센터/구조대,39435.6645712444,932.8699455523731,31
1108105,신길119안전센터,안전센터/구조대,38198.06976914801,607.8445149402673,36
1102103,상도119안전센터,안전센터/구조대,38014.8565458097,692.845055726069,39
1106104,후암119안전센터,안전센터/구조대,37801.61280005734,624.2581281643855,38
1113201,구조대,안전센터/구조대,37728.766832620924,609.1320139046105,21
1107201,구조대,안전센터/구조대,36348.47572137902,750.7397164867606,28
1107104,용두119안전센터,안전센터/구조대,34450.99421444877,657.7413410983609,40
1127301,성수119안전센터,안전센터/구조대,33987.7941426104,745.6685281995984,41
1104103,충무로119안전센터,안전센터/구조대,33893.200070155115,524.6200538273373,24
1108000,영등포소방서,소방서,32280.88334452356,769.7847461330778,29
1103000,종로소방서,소방서,31248.619545239395,943.9541904620501,21
1114401,삼성119안전센터,안전센터/구조대,30964.66216388684,984.7217498052008,19
1121103,목동119안전센터,안전센터/구조대,30765.831161320668,1064.7616124534902,58
1103201,구조대,안전센터/구조대,28152.778048037635,715.8126841249817,17
1103105,연건119안전센터,안전센터/구조대,26495.68162610914,761.3882770361977,40
1115103,양재119안전센터,안전센터/구조대,26093.86629757778,1131.9959984659056,45
1117402,구조대,안전센터/구조대,25828.20654642676,1248.5717003688692,29
1127402,구조대,안전센터/구조대,24664.556177272498,620.434002676802,16
1123104,북아현119안전센터,안전센터/구조대,23159.9764288133,855.1280793398449,55
1119108,공단119안전센터,안전센터/구조대,21394.415716102787,800.191912175867,41
1120402,구조대,안전센터/구조대,20474.540095992103,740.2841382755629,25
1126304,뚝섬수난구조대,안전센터/구조대,20438.12276488668,808.7392244788078,46
1111101,하계119안전센터,안전센터/구조대,20114.5520759218,875.46453680875,27
1123201,119구조대,안전센터/구조대,20025.605426085927,969.2339436085817,27
1108101,영등포119안전센터,안전센터/구조대,19075.14312260498,726.556836736726,23
1118106,강일119안전센터,안전센터/구조대,17852.08899800115,999.164808544795,34
1108201,구조대,안전센터/구조대,17534.12124765165,654.9832507160168,8
1104105,을지로119안전센터,안전센터/구조대,17296.06988754518,533.157407434339,22
1116103,신림119안전센터,안전센터/구조대,16582.899266304194,456.8837899895321,12
1104401,무학119안전센터,안전센터/구조대,16326.231857764673,458.79026864364255,12
1103102,세종로119안전센터,안전센터/구조대,15770.684449385273,696.6693335038909,9
1103109,숭인119안전센터,안전센터/구조대,15020.002993094122,489.14162952909004,21
1103108,종로119안전센터,안전센터/구조대,14847.079670267674,512.0111948914632,22
1105401,구의119안전센터,안전센터/구조대,14706.334721110434,672.7153504411336,17
1102201,구조대,안전센터/구조대,13861.630254432102,423.89263257454434,8
1127304,송정119안전센터,안전센터/구조대,13121.12886846256,659.8579925715943,44
1109104,장위119안전센터,안전센터/구조대,13071.399807410737,885.7556424647578,57
1113105,공덕119안전센터,안전센터/구조대,13049.97618951533,721.392101102283,29
1102101,동작119안전센터,안전센터/구조대,12281.850398256132,553.1265978467766,17
1118201,구조대,안전센터/구조대,11742.459752520977,812.8509650621534,21
1107102,청량리119안전센터,안전센터/구조대,11573.461791756334,705.719615463251,42
1119104,구로119안전센터,안전센터/구조대,10359.383387821274,687.2135060130257,19
1109201,구조대,안전센터/구조대,9859.918842379624,861.7329525977751,35
1123103,홍은119안전센터,안전센터/구조대,7789.246712322983,1102.3257995691322,17
1106201,구조대,안전센터/구조대,7309.75006735647,706.4240068871624,20
1123000,서대문소방서,소방서,7151.196109362929,877.4931114156891,20
1104402,구조대,안전센터/구조대,6544.079279565493,565.9101325138423,8
1109101,종암119안전센터,안전센터/구조대,6252.235549124476,632.4061983292265,18
1111000,노원소방서,소방서,5614.679607742402,1479.6978481769142,5
1122000,중랑소방서,소방서,3361.0358245225034,730.414518756226,1
1125103,미아119안전센터,안전센터/구조대,3333.298787773231,719.9489034839829,28
1127000,성동소방서,소방서,3240.2727306367783,656.4098961043184,5
1106000,용산소방서,소방서,3099.230964643621,669.5354637536244,2
1116104,난곡119안전센터,안전센터/구조대,2991.551967107689,811.3290781903536,8
1107000,동대문소방서,소방서,2833.485925163785,471.06740272697385,2
1105000,광진소방서,소방서,1700.937941092181,1031.7837780711588,2
1117401,등촌119안전센터,안전센터/구조대,1614.2193963878753,1186.3143966251616,21
1123101,연희119안전센터,안전센터/구조대,1537.9647737310643,903.0850298664334,21
1112107,수색119안전센터,안전센터/구조대,1363.659916405665,580.5621804965472,19
1104000,중부소방서,소방서,1335.9243435693777,768.707431048079,1
1110108,쌍문119안전센터,안전센터/구조대,868.1926236453193,1401.6427984264185,10
1119107,신도림119안전센터,안전센터/구조대,627.5089885803795,947.6041385646311,10
1123102,북가좌119안전센터,안전센터/구조대,551.8592850814077,823.7089259100333,8
1111105,수락119안전센터,안전센터/구조대,524.4345257586067,2107.9356222398446,22
1117104,발산119안전센터,안전센터/구조대,436.5383013648215,770.4567370625479,23
1114000,강남소방서,소방서,361.7091460777886,726.2999665915672,2
1117102,화곡119안전센터,안전센터/구조대,172.17466090350044,1055.0270831902033,8
1125201,구조대,안전센터/구조대,157.06193987578706,674.50372308492,8
1111104,월계119안전센터,안전센터/구조대,128.6118556723589,540.8226310792869,9
1121101,양천119안전센터,안전센터/구조대,96.47134317310432,1339.1599061656812,4
1100212,북한산산악구조대,안전센터/구조대,19.64827714482616,3245.4030414999897,2
1110102,방학119안전센터,안전센터/구조대,12.67666104942713,1358.7972357448732,1
1120000,송파소방서,소방서,11.889897782973087,290.52700099653816,1
1109000,성북소방서,소방서,8.67672248929498,306.5574250556462,1
